2010-04-19 16:20:59 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 39]
2010-04-19 16:20:59 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 40]
2010-04-19 16:20:59 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 41]
2010-04-19 16:21:35 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 39]
2010-04-19 16:21:35 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 40]
2010-04-19 16:21:35 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 41]
2010-04-19 16:21:41 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 39]
2010-04-19 16:21:41 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 40]
2010-04-19 16:21:41 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 41]
2010-04-19 16:23:40 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:23:40 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:23:40 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:23:54 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:23:54 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:23:54 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:24:11 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:24:11 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:24:11 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:25:49 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:25:49 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:25:49 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:26:02 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:26:02 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:26:02 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:26:05 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:26:05 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:26:05 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:26:06 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:26:06 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:26:06 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:26:07 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 35]
2010-04-19 16:26:07 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 36]
2010-04-19 16:26:07 Notice: Notice (8): Undefined index:  id in [APP/views/countries/index.ctp, line 37]
2010-04-19 16:30:24 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/index.ctp, line 26]
2010-04-19 16:32:27 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/index.ctp, line 26]
2010-04-19 16:32:28 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/index.ctp, line 26]
2010-04-19 16:32:29 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/index.ctp, line 26]
2010-04-19 16:34:00 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/index.ctp, line 26]
2010-04-19 16:34:26 Notice: Notice (8): Undefined index:  CountryID in [APP/views/countries/view.ctp, line 6]
2010-04-19 16:40:00 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [APP/views/layouts/default.ctp, line 41]
2010-04-19 16:40:01 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [APP/views/layouts/default.ctp, line 41]
2010-04-19 16:47:46 Notice: Notice (8): Undefined variable: paginator in [APP/views/activity_types/index.ctp, line 5]
2010-04-19 17:44:32 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:38 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:12:39 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:28 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:28 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:29 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:29 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:30 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:30 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:30 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:31 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:13:32 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:14:43 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:14:44 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:14:44 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:14:44 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:14:45 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:54 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:54 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:54 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:54 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:54 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:56 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
2010-04-19 18:17:56 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/activityList.ctp, line 6]
